,linkscar,city,place,Brand,Brand_child,Car_Year,regional_specs,Tramsmission_Cars,Fuel_Cars,Car_Color,ConditionUsed,Kilometers_Cars,paint,body_condition,CarCustoms,CarLicense,CarInsurance,Payment_Method,additions,price
0,https://jo.opensooq.com/ar/search/187122003/%D9%85%D8%B1%D8%B3%D9%8A%D8%AF%D8%B3-e200-%D9%85%D9%88%D8%AF%D9%8A%D9%84-2021-%D8%A7%D8%B3%D9%88%D8%AF-%D9%88%D8%A7%D8%B1%D8%AF-%D8%A7%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7,عمان,المدينة الرياضية,مرسيدس بنز,E 200,2021,مواصفات أوروبية,اوتوماتيك,هايبرد,أسود,مستعمل,"١,٠٠٠ - ٩,٩٩٩",الدهان الأصلي,ممتازة بدون حوادث,مجمركة,مرخصة,تأمين إلزامي,كاش أو أقساط,"['فتحة', 'مرايا كهربائية', 'شاشة لمس', 'نظام ملاحة', 'مثبت سرعة', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'كراسي جلد', 'كراسي مدفأة', 'أكياس هوائية', 'أضوية LED', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",
1,https://jo.opensooq.com/ar/search/186637635/%D8%B1%D9%86%D8%AC-%D8%B1%D9%88%D9%81%D8%B1-%D8%B3%D8%A8%D9%88%D8%B1%D8%AA-2017-%D8%AA%D8%AD%D8%AA-%D8%A7%D9%84%D9%83%D9%81%D8%A7%D9%84%D8%A9-6-%D8%B3%D9%84%D9%86%D8%AF%D8%B1,عمان,دابوق,لاند روفر,رنج روفر سبورت,2017,مواصفات أخرى,اوتوماتيك,بنزين,أسود,مستعمل,"٤٠,٠٠٠ - ٤٩,٩٩٩",الدهان الأصلي,ممتازة بدون حوادث,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['فتحة', 'كراسي مدفأة', 'أكياس هوائية', 'أضوية LED', 'أضوية زينون', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك', 'مرايا كهربائية', 'شاشة لمس', 'نظام ملاحة', 'مثبت سرعة', 'دخول بدون مفتاح', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'كراسي جلد']",
2,https://jo.opensooq.com/ar/search/189062497/%D8%AC%D9%8A%D8%A8-%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D8%B1%D8%A7%D9%81-%D9%81%D9%88%D8%B1-2020xle-%D8%A8%D8%AD%D8%A7%D9%84-%D8%A7%D9%84%D9%88%D9%83%D8%A7%D9%84%D9%87-7-%D8%AC%D9%8A%D8%AF-%D9%83%D9%84%D9%8A%D9%86-%D8%AA%D8%A7%D9%8A%D8%AA%D9%84-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%A7%D8%B6%D8%A7%D9%81%D8%A7%D8%AA-%D8%A8%D8%B3%D8%B9%D8%B1-%D9%85%D8%BA%D8%B1%D9%8A,عمان,الجاردنز,تويوتا,راف فور,2020,مواصفات أخرى,اوتوماتيك,هايبرد,فضي,مستعمل,"٢٠,٠٠٠ - ٢٩,٩٩٩",الدهان الأصلي,أخرى,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['فتحة', 'مرايا كهربائية', 'شاشة لمس', 'نظام ملاحة', 'مثبت سرعة', 'كراسي مدفأة', 'كراسي جلد', 'حساسات اصطفاف', 'كاميرا خلفية', 'مكيف', 'دخول بدون مفتاح', 'أكياس هوائية', 'أضوية LED', 'أضوية زينون', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",31000.0
3,https://jo.opensooq.com/ar/search/189084847/crv-%D9%81%D8%AD%D8%B5-%D9%83%D8%A7%D9%85%D9%84-%D9%82%D8%A7%D8%A8%D9%84-%D9%84%D9%84%D8%A8%D8%AF%D9%84,عمان,طبربور,هوندا,CR-V,1999,مواصفات أخرى,اوتوماتيك,بنزين,أبيض,مستعمل,٠,أخرى,ممتازة بدون حوادث,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['مرايا كهربائية', 'شاشة لمس', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",6950.0
4,https://jo.opensooq.com/ar/search/188681715/%D9%81%D9%8A%D9%88%D8%AC%D9%86-2015-%D9%81%D9%84-%D9%85%D8%B9-%D8%B9%D8%AF%D8%A7-%D9%81%D8%AA%D8%AD%D8%A9,عمان,المدينة الرياضية,فورد,فيوجن,2015,مواصفات أمريكية,اوتوماتيك,هايبرد,أسود,مستعمل,"١٣٠,٠٠٠ - ١٣٩,٩٩٩",الدهان الأصلي,أخرى,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['مرايا كهربائية', 'شاشة لمس', 'نظام ملاحة', 'مثبت سرعة', 'دخول بدون مفتاح', 'مكيف', 'كاميرا خلفية', 'كراسي جلد', 'أكياس هوائية', 'أضوية LED', 'أضوية زينون', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",13350.0
5,https://jo.opensooq.com/ar/search/185793199/2017-%D8%A3%D9%8A%D9%88%D9%86%D9%8A%D9%83-%D8%AD%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%A7%D8%B4%D9%8A%D8%A9-%D9%81%D9%82%D8%B7-25000,عمان,تلاع العلي,هيونداي,ايونيك,2017,مواصفات أمريكية,اوتوماتيك,هايبرد,أبيض,مستعمل,"٢٠,٠٠٠ - ٢٩,٩٩٩",الدهان الأصلي,جيد (عيوب بسيطة في البودي),مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['مرايا كهربائية', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك', 'شاشة لمس', 'مثبت سرعة', 'نظام ملاحة', 'دخول بدون مفتاح', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'أكياس هوائية', 'أضوية LED', 'كراسي مدفأة', 'أضوية زينون']",16700.0
6,https://jo.opensooq.com/ar/search/187716957/%D9%81%D9%88%D9%84%D9%83%D8%B3%D9%81%D8%A7%D8%AC%D9%86-%D8%A8%D8%A7%D8%B3%D8%A7%D8%AA-cc-%D9%85%D9%88%D8%AF%D9%8A%D9%84-2010-%D9%81%D8%AD%D8%B5-%D9%83%D8%A7%D9%85%D9%84,عمان,الدوار السابع,فولكسفاغن,CC,2010,مواصفات أخرى,اوتوماتيك,بنزين,أسود,مستعمل,"١٥٠,٠٠٠ - ١٥٩,٩٩٩",أخرى,أخرى,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['فتحة', 'مرايا كهربائية', 'نظام ملاحة', 'شاشة لمس', 'مثبت سرعة', 'دخول بدون مفتاح', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'كراسي جلد', 'كراسي مدفأة', 'أكياس هوائية', 'أضوية زينون', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",13200.0
7,https://jo.opensooq.com/ar/search/187124429/%D8%B3%D9%88%D9%86%D8%A7%D8%AA%D8%A7-2012-%D8%B1%D9%88%D9%8A%D8%A7%D9%84-%D8%A7%D8%B9%D9%84%D9%89-%D8%B5%D9%86%D9%81-%D9%81%D8%AD%D8%B5-%D9%83%D8%A7%D9%85%D9%84,عمان,المدينة الرياضية,هيونداي,سوناتا,2012,مواصفات أخرى,اوتوماتيك,بنزين,أبيض,مستعمل,"٢٠٠,٠٠٠+",أعيد دهانها كلياً,ممتازة بدون حوادث,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['فتحة', 'مرايا كهربائية', 'شاشة لمس', 'نظام ملاحة', 'مثبت سرعة', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'كراسي جلد', 'كراسي مدفأة', 'أكياس هوائية', 'أضوية LED', 'أضوية زينون', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",12500.0
8,https://jo.opensooq.com/ar/search/188142951/%D9%81%D9%88%D8%B1%D8%AF-%D9%81%D9%8A%D9%88%D8%AC%D9%86-2017-%D8%A8%D8%AD%D8%A7%D9%84%D9%87-%D8%A7%D9%84%D9%88%D9%83%D8%A7%D9%84%D9%87-%D8%A8%D8%B3%D8%B9%D8%B1-%D9%85%D8%BA%D8%B1%D9%8A-%D8%AC%D8%AF%D8%A7-%D9%82%D8%A7%D8%A8%D9%84-%D9%84%D9%84%D8%A8%D8%AF%D9%84,عمان,طريق المطار - جسر مادبا,فورد,فيوجن,2017,مواصفات أمريكية,اوتوماتيك,هايبرد,فضي,مستعمل,"٨٠,٠٠٠ - ٨٩,٩٩٩",أخرى,أخرى,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['شاشة لمس', 'مرايا كهربائية', 'نظام ملاحة', 'مثبت سرعة', 'دخول بدون مفتاح', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'كراسي جلد', 'كراسي مدفأة', 'أكياس هوائية', 'أضوية LED', 'أضوية زينون', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",15400.0
9,https://jo.opensooq.com/ar/search/187251919/%D8%A7%D9%88%D8%AF%D9%8A-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-%D9%81%D8%AD%D8%B5-%D9%83%D8%A7%D9%85%D9%84,عمان,الجاردنز,أودي,A6,2006,مواصفات أخرى,اوتوماتيك,بنزين,أسود,مستعمل,"١٩٠,٠٠٠ - ١٩٩,٩٩٩",أعيد دهانها جزئياً,ممتازة بدون حوادث,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['فتحة', 'نظام ملاحة', 'دخول بدون مفتاح']",9500.0
10,https://jo.opensooq.com/ar/search/189620385/glc200-2020,عمان,الرابية,مرسيدس بنز,GLC 200,2020,مواصفات أوروبية,اوتوماتيك,مايلد هايبرد,أبيض,مستعمل,"١٠,٠٠٠ - ١٩,٩٩٩",الدهان الأصلي,ممتازة بدون حوادث,مجمركة,مرخصة,تأمين إلزامي,كاش فقط,"['فتحة', 'مرايا كهربائية', 'شاشة لمس', 'نظام ملاحة', 'مثبت سرعة', 'مكيف', 'كاميرا خلفية', 'حساسات اصطفاف', 'كراسي جلد', 'كراسي مدفأة', 'أكياس هوائية', 'أضوية LED', 'أضوية زينون', 'مدخل AUX/USB', 'بلوتوث', 'ABS', 'سنترلوك']",54000.0
